     51/99      2.2G   0.02504  0.003183         0   0.02822        31       640    0.9668    0.9323    0.9765    0.7106   0.03646  0.004122         0
     52/99      2.2G   0.02608  0.003313         0   0.02939        37       640    0.9593    0.9349    0.9718    0.7167    0.0352  0.004098         0
     53/99      2.2G   0.02483   0.00312         0   0.02795        44       640    0.9646      0.94    0.9778    0.7171   0.03403  0.004025         0
     54/99      2.2G    0.0243  0.003125         0   0.02742        36       640    0.9558      0.94    0.9746    0.7122   0.03392  0.004081         0
     55/99      2.2G   0.02357  0.003118         0   0.02669        34       640    0.9671    0.9374    0.9759    0.7171   0.03288   0.00412         0
     56/99      2.2G   0.02371  0.003194         0   0.02691        43       640     0.967    0.9348    0.9789    0.7166   0.03226  0.004141         0
     57/99      2.2G   0.02489   0.00318         0   0.02807        41       640    0.9631    0.9349    0.9777    0.7121   0.03434  0.004088         0
     58/99      2.2G   0.02432  0.003259         0   0.02758        41       640     0.961    0.9449    0.9806    0.7232    0.0332  0.004079         0
     59/99      2.2G   0.02462  0.003224         0   0.02784        41       640    0.9558    0.9387    0.9748    0.7205   0.03377  0.004105         0
     60/99      2.2G   0.02468  0.003087         0   0.02777        39       640    0.9597    0.9438     0.979    0.7214   0.03279  0.004111         0
     61/99      2.2G   0.02364  0.003181         0   0.02682        36       640    0.9642    0.9298    0.9761    0.7221     0.032  0.004142         0
     62/99      2.2G   0.02349  0.003102         0   0.02659        46       640    0.9559    0.9412    0.9739    0.7203   0.03279  0.004061         0
     63/99      2.2G    0.0238  0.003266         0   0.02706        55       640    0.9623    0.9464    0.9777    0.7274   0.03145  0.004084         0
     64/99      2.2G   0.02382  0.003201         0   0.02702        28       640    0.9526    0.9527    0.9749    0.7184   0.03302  0.004063         0
     65/99      2.2G   0.02411   0.00319         0    0.0273        36       640    0.9597    0.9476    0.9792    0.7292   0.03282  0.004091         0
     66/99      2.2G    0.0233  0.003134         0   0.02644        39       640    0.9466    0.9527    0.9758    0.7248   0.03307  0.004109         0
     67/99      2.2G   0.02338   0.00308         0   0.02646        40       640    0.9707    0.9323    0.9761    0.7338   0.03189  0.004112         0
